date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color,adx,cci,cmo,dx,roc,rsi,willr,atr,corr,linreg,angle,intercept,slope,stdev,var,tsf,bband_upper,bband_middle,bband_lower,bband_relative,apo,macd,macdsignal,macdhist,ppo,tweet_sentiment_bullish,tweet_sentiment_bearish,tweet_sentiment_net,tweet_sentiment_impact_bullish,tweet_sentiment_impact_bearish,tweet_sentiment_impact_net,tweets_mean,tweet_followers_mean,tweet_sentiment_impact_net_mean,news_mean,volatility_mean,social_volume_global_mean,tweet_sentiment1_stdev,tweet_sentiment_impact_bearish_stdev,market_dominance_stdev,market_cap_global_pct_change
2021-04-03,1,1617408000,58136.805954,57444.952226,58378.455453,57444.952226,63039828095.0,1111735011477.0,31555.0,18830.0,180391.0,85886.0,880086035.0,3039.0,42743.0,21490.0,253467.0,5105.0,20308.0,20702.0,124257.0,10019.0,36406304.0,121476219.0,50517419.0,606605209.0,65401623.0,880443756.0,3.6,84.0,20.0,2.4,3.0,3.1,61.0,0.00676164,59.0,86.0,1.0,876.0,3.0,1.0,1.0,0.0,0.0,63390,200209,1,635474.0,-2.7932196490095555,1916434551353.0,58.01059111004426,Bitcoin,BTC,58236.347109,0.013776578312512,59906.099097,56078.637713,59369.933306,-0.0237847619339058,0.0335100127236024,2461.146870999997,0.0428435706816736,Hold,Grey,18.52626807919923,42.64519791415404,11.103819765512323,14.896201698835718,-2.090217460464361,55.55190988275617,-36.98849656972274,2276.9952421843395,0.9682455824527275,58642.05692102862,89.83642236117707,54088.60380039995,350.2656246637437,2263.712109129086,5124392.513017654,58992.32254569236,60892.7545789725,56365.330360714324,51837.90614245615,0.6192313568642169,-569.8087863397232,1428.2346953139713,1458.758831307578,-30.524135993606706,-1.0006357572264526,134276.0,25413.0,108863.0,672006832.0,157882523.0,514124309.0,266105.25,1308878838.5,579534451.1,447.2857142857143,0.015107090714285714,768686.3571428572,2692.104248671335,53058440.20338668,1.6413342808457068,0.04950881870801327
2021-04-04,1,1617494400,58447.243628,58236.347109,58447.243628,57895.397426,57465444691.0,1076566921417.0,39287.0,19125.0,179285.0,84317.0,755231559.0,2849.0,53254.0,22519.0,235814.0,5252.0,16600.0,28836.0,120202.0,8395.0,35126197.0,66249196.0,51078106.0,545277336.0,57815160.0,755609975.0,3.6,85.0,234.0,3.5,3.4,3.0,67.5,0.01341885,63.0,315.0,1.0,994.0,3.0,1.0,1.0,10.0,19.0,61970,204033,1,697507.0,1.3776578312512022,1975284931909.0,54.50185459454499,Bitcoin,BTC,59289.128704,0.0180777409171891,60051.581505,56078.637713,60715.115145,-0.0370509055446327,0.0425639340214888,1815.234396,0.0311701280405252,Hold,Grey,18.294469333226825,56.50892783728639,15.409584975445586,15.281085635585544,0.12681287006783837,57.70479248772279,-28.340371011566162,2185.9449678854576,0.9639500378416213,59379.9268133429,89.87624413769733,53361.27071508568,462.973546019786,2267.97061582756,5143690.71425724,59842.900359362684,60906.53999586943,56370.598764214315,51834.6575325592,0.7056627554789654,-436.83293799997773,1399.6550745157147,1446.9380799492053,-47.283005433490644,-0.7651926672679479,128597.0,21852.0,106745.0,603092496.0,101375393.0,501717103.0,262875.25,1252505410.25,588324043.15,450.57142857142856,0.015117452857142857,774432.2142857143,2602.5928554863394,60585457.80084322,1.7976024989660675,0.12405056234663903
2021-04-05,1,1617580800,58779.859584,59289.128704,59289.128704,58177.738546,70324571456.0,1091545726518.0,59530.0,23308.0,225209.0,103406.0,1324192922.0,5315.0,66037.0,25277.0,366231.0,6546.0,20842.0,29366.0,159114.0,9341.0,50497322.0,144684311.0,121992575.0,872491824.0,134989750.0,1324739063.0,3.6,86.0,575.0,3.2,3.8,3.5,70.5,0.00812809,74.0,90.0,1.0,769.0,3.0,1.0,1.0,9.0,8.0,67144,255365,1,823165.0,1.807774091718917,2045615412276.0,53.36026116969467,Bitcoin,BTC,58222.002696,-0.0179986792069016,59939.145256,56078.637713,60715.115145,-0.0541497414648869,0.0240513981596729,650.016552000001,0.0109635031954204,Hold,Grey,18.41964497507842,70.14792468009993,20.898443096375864,20.046928319149146,8.880023471554853,60.449221548187936,-16.835889981359223,2109.191052893639,0.9725044730533146,59856.55372968571,89.88141549716342,53575.42885831429,483.16345164395483,2317.3967286799148,5370327.598096371,60339.71718132966,61350.78475135986,56715.99129400003,52081.197836640196,0.7775892209300022,-53.72338100639172,1445.2957259186078,1446.609609143086,-1.3138832244781042,-0.093894297526265,168455.0,27388.0,141067.0,1007481574.0,195181633.0,812299941.0,262417.75,1251576097.65,605138685.5,451.2857142857143,0.014418092857142859,781735.8571428572,2644.5026897680486,54013976.39543054,1.9147928372320586,0.14593266021443396
2021-04-06,1,1617667200,59369.933306,58222.002696,59369.933306,58222.002696,73463370163.0,1120881626053.0,51893.0,24906.0,225961.0,127845.0,1338548067.0,5330.0,63500.0,28075.0,327751.0,7961.0,21229.0,37551.0,148742.0,10478.0,108129485.0,179495084.0,174039066.0,756217645.0,121091443.0,1339051905.0,3.6,85.0,546.0,3.1,4.3,3.6,73.0,0.00963812,45.0,99.0,1.0,1215.0,3.0,1.0,1.0,16.0,2.0,77733,257741,1,811688.0,-1.7998679206901629,2042508469214.0,54.87769783810682,Bitcoin,BTC,56176.3425,-0.0351355175238681,63520.926427,56078.637713,60715.115145,-0.0368136595058634,0.0428207951213482,5298.923730999995,0.0910123919760672,Hold,Grey,18.568894889361893,53.417459848751314,12.901523047621705,20.509143775047033,6.010186650589522,56.45076152381085,-28.497122447981557,2040.5295926869505,0.9729883071838553,59987.406432485695,89.8773167784551,53916.12801351431,467.0214168439527,2290.5535886417824,5246635.742439747,60454.427849329644,61532.8744002836,56951.76722300004,52370.660045716475,0.6386384801581055,462.28893566669285,1379.4566034346208,1433.179008001393,-53.722404566772184,0.8075461351783245,159220.0,29190.0,130030.0,877309088.0,287624569.0,589684519.0,257089.5,1234930128.9,604973321.55,450.57142857142856,0.013437135000000001,785197.3571428572,2618.1272841843356,65404782.79027929,1.9411725734702627,0.11182464500228906
2021-04-07,1,1617753600,56809.130974,56176.3425,57176.003952,56078.637713,81577603944.0,1081273168066.0,67211.0,24133.0,233086.0,148326.0,1380496346.0,5212.0,62422.0,31329.0,323860.0,8428.0,24902.0,33057.0,157147.0,9552.0,103171406.0,263885512.0,120135348.0,731111130.0,162615773.0,1381010331.0,3.6,84.0,557.0,3.3,4.3,2.4,68.0,0.01386585,32.0,100.0,1.0,880.0,4.0,1.0,1.0,13.0,16.0,79699,263529,1,766344.0,-3.5135517523868107,1940591343072.0,55.71874634637503,Bitcoin,BTC,58082.008663,0.0339229305111845,62977.968588,56078.637713,63520.926427,-0.001739251482953,0.1307415826688966,6801.6260880000045,0.1210763425546973,Buy,Green,17.48746217340624,-27.15044873535906,-0.6633031650357875,3.4288368659827198,5.704023420914894,49.6683484174821,-50.85148258393308,2047.874977709312,0.9787490526029626,59244.17940485716,89.82059622830091,55092.4121795714,319.3667096373659,2051.2345579043795,4207563.211541176,59563.54611449452,61270.764908023084,57168.295792214325,53065.826676405566,0.3791028933780562,621.3899025705396,1148.9663738481977,1376.3364811707538,-227.37010732255612,1.0864911633162844,166699.0,33330.0,133369.0,893726903.0,367056918.0,526669985.0,253762.8,1220525461.15,594910440.3,443.2142857142857,0.013334412857142857,766820.0,1602.525031377186,90116024.49514695,1.7210580867016452,0.06681061649622033
2021-04-08,1,1617840000,57315.746123,58082.008663,58082.008663,57113.639942,59225674642.0,1055761113342.0,63939.0,25836.0,233192.0,124861.0,1343548838.0,5195.0,65764.0,27982.0,312269.0,8250.0,30016.0,37926.0,145863.0,11137.0,57579594.0,290234066.0,134002298.0,724814014.0,137330076.0,1344050063.0,3.5,81.0,608.0,2.8,4.1,1.8,61.0,0.01347732,48.0,100.0,1.0,955.0,4.0,1.0,1.0,16.0,9.0,81729,265622,1,759396.0,3.392293051118452,2030702518358.0,51.98994455355651,Bitcoin,BTC,58333.900551,0.0043368315559041,63227.284483,57113.639942,64281.609168,-0.0166724385621477,0.1067387414400724,5145.275820000003,0.0885863960017915,Buy,Green,16.901355486023714,8.647462592242588,10.164946830486375,9.281968550050918,12.390541426769985,55.08247341524319,-32.44304241678232,2037.7172052300755,0.9671096398834057,58694.91099402863,89.65169790804579,56556.43414954282,164.49821880660028,1380.3921670164877,1905482.5347604752,58859.40921283523,60386.456905818726,57625.67257178575,54864.88823775277,0.5826460954571617,933.4375291538672,1107.3081799232386,1322.5308209212508,-215.22264099801214,1.6350537538544108,157000.0,38266.0,118734.0,862144090.0,347813660.0,514330430.0,252242.65,1223177684.65,593898950.75,443.2142857142857,0.012261657142857143,761636.8571428572,1407.2642490543994,103179697.30649243,1.7966673886311968,0.09902976151530463
2021-04-09,1,1617926400,58196.906137,58333.900551,58582.875283,58196.906137,52481306449.0,1087459614874.0,48193.0,24257.0,202447.0,129300.0,1101800188.0,4647.0,54333.0,26253.0,285719.0,6663.0,21410.0,24584.0,139628.0,10162.0,67064610.0,232667976.0,101761608.0,623227527.0,77449419.0,1102244884.0,3.6,84.0,488.0,3.3,3.7,3.5,70.5,0.01109621,39.0,374.0,1.0,1008.0,3.0,1.0,1.0,12.0,6.0,71310,233162,1,768155.0,0.4336831555904178,2045309741180.0,53.16845624793301,Bitcoin,BTC,59906.099097,0.0269517130030669,61524.095785,58196.906137,64281.609168,-0.0023484528328468,0.1019597277195626,3190.195233999999,0.0546885293777138,Buy,Green,16.582790758594893,30.555045088470695,11.51977850081555,12.441449302020237,6.230743031635622,55.75988925040778,-37.7089385688909,1927.9421634279274,0.94679378364993,58489.42311857144,89.398720799161,57250.70109214286,95.2863097252754,1164.3693073831785,1355755.8839759827,58584.709428296715,60198.80072012354,57870.06210535718,55541.323490590825,0.5995900619119837,1171.2795856923258,1082.1450369458762,1274.453664126176,-192.3086271802997,2.0527192057922203,149790.0,28073.0,121717.0,700676946.0,299732586.0,400944360.0,251996.9,1233748622.75,591427720.65,441.14285714285717,0.011609087857142857,758652.7142857143,1378.473171924018,100608464.5161359,1.9331982032290445,0.10042615615819983
2021-04-10,1,1618012800,58708.977622,59906.099097,60715.115145,58613.320259,69260543178.0,1087288872081.0,39942.0,21989.0,219229.0,130042.0,941487676.0,5430.0,67536.0,31482.0,387086.0,6404.0,18929.0,29326.0,155891.0,8679.0,42737435.0,124554034.0,97770359.0,586866799.0,90050583.0,942045097.0,3.7,86.0,298.0,2.7,3.0,3.4,63.5,0.01435056,13.0,371.0,1.0,615.0,3.0,1.0,1.0,24.0,6.0,80233,247613,1,747351.0,2.6951713003066926,2107124609403.0,51.60059671976664,Bitcoin,BTC,60051.581505,0.0024285074507094,60350.654231,58613.320259,64281.609168,-0.0215800871278019,0.0730394757287597,444.555134000002,0.0074208660003078,Buy,Green,17.148087832964833,113.97503864147595,19.66362593774706,24.496949799774058,7.790385904039865,59.831812968873535,-15.791454099661932,1960.3187656116472,0.9147973005961115,58685.32048165714,89.26402700748208,57673.321162628585,77.84610146373464,1086.492498862595,1180465.9500846863,58763.16658312087,60352.30581986808,58179.320822142894,56006.33582441771,0.8973286232221578,1213.363430660269,1175.515734442859,1254.6660781895125,-79.15034374665356,2.1208942879686097,164570.0,25333.0,139237.0,676917382.0,167291469.0,509625913.0,252805.65,1239545546.5,593992322.5,443.35714285714283,0.011346650714285715,762330.7142857143,1170.4217188688767,99210953.67451198,2.1572350837233394,0.13773115352767218
2021-04-11,1,1618099200,60261.521252,60051.581505,60532.374183,59842.913021,56084542999.0,1123503198795.0,45642.0,19881.0,212103.0,120187.0,912579029.0,4438.0,56674.0,25751.0,316840.0,8084.0,24900.0,30364.0,140963.0,7792.0,78507542.0,116570003.0,73130308.0,543997731.0,100777148.0,913048610.0,3.6,82.0,199.0,2.7,3.6,3.4,66.5,0.01222716,41.0,351.0,1.0,796.0,3.0,1.0,1.0,14.0,1.0,83298,236443,1,720167.0,0.2428507450709455,2131771185682.0,52.702804425774566,Bitcoin,BTC,59939.145256,-0.00187232785852,56442.457805,59842.913021,64281.609168,-0.0034748207918991,0.0704399044452776,-3609.123700000004,-0.0601003938538987,Hold,Grey,17.673006544879776,136.57732648566258,20.39378616180663,24.496949799774043,7.561102702688283,60.19689308090332,-15.72516808811807,1869.5432224965296,0.8789393413491231,58831.17061851428,88.937037740982,58130.52516205714,53.89580434285677,972.5029083470787,945761.9067435265,58885.06642285714,60425.85370697991,58480.84789028575,56535.84207359159,0.9037863540644714,1191.2047743910443,1246.8786583684923,1253.1085942253085,-6.229935856816155,2.0774354095171654,148755.0,32984.0,115771.0,644774879.0,195077545.0,449697334.0,251674.75,1222203120.2,583354870.7,438.42857142857144,0.011341065714285713,770828.2857142857,893.0583887486072,79895128.88346057,2.0726730618543265,0.2227303028073757
2021-04-12,1,1618185600,60474.685223,59939.145256,60564.635761,59939.145256,61165879793.0,1117974857673.0,61569.0,25224.0,239887.0,120265.0,1386974153.0,7489.0,80928.0,32176.0,451990.0,7071.0,22813.0,28894.0,169757.0,11352.0,147600594.0,179221881.0,154546150.0,696803155.0,209374956.0,1387632689.0,3.6,86.0,554.0,2.9,4.1,2.9,67.5,0.00621299,34.0,384.0,1.0,872.0,3.0,1.0,1.0,15.0,6.0,77012,271050,1,803659.0,-0.1872327858520043,2137992935717.0,52.29085835580997,Bitcoin,BTC,63520.926427,0.0597569610928252,55697.692879,53049.289821,64281.609168,-0.1149475089371635,0.0724478784849757,-4241.452377000001,-0.0707626436594109,Hold,Grey,18.173429587248958,117.63540079890906,19.489891828442236,24.678929138048307,4.060950789263962,59.74494591422111,-18.74587775838268,1780.68231410392,0.9111611981607916,59080.331118799986,89.13878106121834,58215.52310777145,66.52369315604119,1007.1406490172584,1014332.2869029045,59146.85481195603,60662.208411320265,58647.92711328575,56633.64581525123,0.820515844528317,1225.2613323141122,1279.6110642775457,1258.409088235756,21.20197604178975,2.1345671171867426,181109.0,29884.0,151225.0,906178111.0,326822475.0,579355636.0,250457.85,1231723404.9,582638476.45,438.35714285714283,0.01087712642857143,773981.6428571428,821.0227071855306,75929204.98213363,2.17238871844905,0.22022563225763858
2021-04-13,1,1618272000,60780.454602,63520.926427,63520.926427,60780.454602,80957526922.0,1128354324214.0,64048.0,27708.0,325381.0,124496.0,2322777421.0,10980.0,123983.0,52276.0,766503.0,10311.0,27065.0,34414.0,237507.0,16084.0,308160053.0,274483924.0,212283974.0,1381083529.0,147719683.0,2323831558.0,3.7,87.0,583.0,2.5,4.2,2.4,64.0,0.01346355,6.0,359.0,1.0,490.0,3.0,1.0,1.0,16.0,8.0,92287,360716,1,1032055.0,5.975696109282528,2258219664612.0,49.96654408320681,Bitcoin,BTC,62977.968588,-0.008547700254718,56554.23716214,53049.289821,64281.609168,-0.1648533356646536,0.0119753093002225,-6966.689264859997,-0.1096754984023463,Sell,Red,19.67187854533594,231.32190758185536,35.97949096729316,39.15171500046674,8.110669732007892,67.98974548364657,-0.0,1909.3322324536396,0.9267382862740395,60348.75060228567,89.72624919255998,57627.883866285745,209.29744123076344,1610.5255110814003,2593792.4218440056,60558.048043516435,62209.36825644854,58988.31723428574,55767.266212122944,1.2035916478079878,1413.5412854679598,1576.3997826703635,1322.0072271226775,254.39255554768602,2.453583520938372,253591.0,37376.0,216215.0,1528803212.0,582643977.0,946159235.0,242560.7,1194897062.65,566730490.5,438.42857142857144,0.01050704357142857,790257.7142857143,1335.5620183135914,136042005.31239876,2.440266326147368,0.34144920690369873
2021-04-14,1,1618358400,64174.825748,62977.968588,64281.609168,62705.792044,90534141346.0,1182903546323.0,60252.0,26706.0,333976.0,177883.0,2503409778.0,10072.0,109890.0,46835.0,636591.0,11086.0,30595.0,37952.0,240650.0,13693.0,286159785.0,338785864.0,246440956.0,1419268295.0,213558266.0,2504306716.0,3.6,86.0,557.0,5.0,4.2,4.1,85.0,0.02070823,27.0,88.0,1.0,1040.0,3.0,1.0,1.0,24.0,15.0,116140,368970,1,1216571.0,-0.8547700254718061,2280503552717.0,51.87027860200808,Bitcoin,BTC,63227.284483,0.0039587795635489,54215.58705109,53049.289821,64281.609168,-0.1576532077741841,0.0206999464928501,-8762.381536910005,-0.1391340770965993,Hold,Grey,21.283014513705098,193.76966139170224,31.580010963182204,42.22778210250418,7.103123123322019,65.79000548159111,-15.89229692132335,1885.5097247069511,0.9547930052216868,61347.936179771394,89.81932533765595,57225.373252800026,317.12022515164347,1907.6788781663026,3639238.7022018433,61665.05640492303,63102.01247261835,59286.654716285746,55471.29695995314,0.9837441345556046,1559.0828534230895,1747.6490104063778,1407.1355837794176,340.51342662696015,2.6978753552179793,254343.0,41681.0,212662.0,1632826561.0,624945649.0,1007880912.0,242703.05,1240621271.1,583660558.95,433.2857142857143,0.011213638571428573,816789.9285714285,1808.888977613966,177435153.39180267,2.3257350093592333,0.3771324150099915
