date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color
2019-09-13,29,1568332800,0.002405,0.002427,0.002465,0.002372,16892228.0,291600957.98,411.0,284.0,785.0,290.0,675756.0,21.0,654.0,413.0,944.0,0.0,29.0,94.0,490.0,172.0,0.0,52020.0,131637.0,359273.0,134858.0,677788.0,4.0,95.0,1.0,1.0,4.4,3.0,62.0,0.00865553,,,,,,,,0.0,0.0,224,1102,2.3424722417003163e-07,124875,0.28925619834711,264315957388.0,0.11032287299701216,Dogecoin,DOGE,0.002438,0.004532344458178887,0.002656,0.002372,0.003482,-0.02266172229089408,0.43469303667078696,0.00022900000000000004,0.0943551709929955,Buy,Green
2019-09-14,29,1568419200,0.002451,0.002438,0.00249,0.002383,18211953.0,289000091.22,459.0,290.0,1387.0,312.0,1069615.0,93.0,2144.0,1720.0,2545.0,0.0,28.0,400.0,685.0,274.0,0.0,103687.0,293496.0,449609.0,229325.0,1076117.0,3.9,97.0,1.0,1.0,1.5,3.0,48.5,0.00983378,,,,,,,,0.0,0.0,211,1693,2.3523413452059445e-07,119861,0.4532344458178887,266705262208.0,0.10835935100321065,Dogecoin,DOGE,0.002445,0.002871205906480747,0.00256,0.002374,0.003482,-0.026251025430680988,0.4282198523379819,0.00012200000000000015,0.050041017227235494,Buy,Green
2019-09-15,29,1568505600,0.002425,0.002445,0.002529,0.002381,17264501.0,300293847.6,411.0,266.0,1093.0,335.0,950085.0,19.0,533.0,277.0,679.0,0.0,63.0,398.0,571.0,61.0,0.0,88163.0,331781.0,454608.0,77041.0,951593.0,3.6,90.0,1.0,5.0,4.1,3.0,79.5,0.01285579,,,,,,,,0.0,0.0,418,1383,2.370384999877432e-07,131304,0.2871205906480747,265621557086.0,0.11305326679595293,Dogecoin,DOGE,0.002448,0.0012269938650306602,0.002577,0.002374,0.003482,-0.0290388548057261,0.4241308793456031,0.00013199999999999974,0.05398773006134958,Buy,Green
2019-09-16,29,1568592000,0.002456,0.002448,0.002526,0.002395,17204968.0,293719923.61,479.0,274.0,879.0,677.0,657441.0,40.0,477.0,592.0,621.0,0.0,74.0,166.0,635.0,4.0,0.0,192965.0,175305.0,277825.0,13076.0,659171.0,3.6,90.0,2.0,1.0,1.9,3.0,47.0,0.01276301,,,,,,,,0.0,0.0,279,1173,2.3793279895093035e-07,144240,0.12269938650306601,266744079567.0,0.11011300572698346,Dogecoin,DOGE,0.002562,0.04656862745098037,0.002456,0.002374,0.003482,-0.030228758169934755,0.42238562091503257,7.99999999999976e-06,0.0032679738562090524,Buy,Green
2019-09-17,29,1568678400,0.00242,0.002562,0.002623,0.002374,24757929.0,293942902.82,492.0,324.0,710.0,532.0,1469026.0,19.0,418.0,342.0,1357.0,0.0,34.0,211.0,458.0,7.0,0.0,84331.0,387753.0,991259.0,7819.0,1468286.0,3.6,89.0,2.0,5.0,1.5,2.0,61.5,0.02026226,,,,,,,,0.0,0.0,281,1068,2.516311059523548e-07,141527,4.656862745098037,268305870461.0,0.10955515148250419,Dogecoin,DOGE,0.002707,0.05659640905542551,0.002181,0.002374,0.003482,-0.07338017174082757,0.3590944574551131,-0.00038099999999999983,-0.14871194379391095,Hold,Grey
2019-09-18,29,1568764800,0.002598,0.002707,0.002818,0.002534,31037603.0,330832041.79,575.0,350.0,818.0,556.0,1994878.0,10.0,218.0,144.0,694.0,0.0,36.0,114.0,603.0,65.0,0.0,95268.0,1013046.0,810219.0,77411.0,1995944.0,3.9,94.0,6.0,2.8,4.5,3.0,71.0,0.03116158,,,,,,,,0.0,0.0,286,1218,2.66159014528533e-07,139402,5.659640905542551,270387184247.0,0.12235492695829228,Dogecoin,DOGE,0.002695,-0.004432951606945065,0.002185,0.002054,0.003482,-0.24122644994458822,0.2862947912818617,-0.0005220000000000003,-0.19283339490210577,Sell,Red
2019-09-19,29,1568851200,0.00337,0.002695,0.003482,0.002642,27723771.0,314000907.92,505.0,289.0,902.0,611.0,951161.0,27.0,604.0,516.0,788.0,0.0,45.0,269.0,511.0,77.0,0.0,129650.0,253467.0,472874.0,97105.0,953096.0,3.7,91.0,8.0,1.0,1.9,4.0,52.0,0.0188449,,,,,,,,0.0,0.0,311,1228,2.626896049730235e-07,142561,-0.4432951606945065,272858872471.0,0.11507813730827927,Dogecoin,DOGE,0.002656,-0.014471243042671604,0.002126,0.002054,0.003482,-0.23784786641929503,0.2920222634508349,-0.0005690000000000001,-0.21113172541743974,Sell,Red
2019-09-20,29,1568937600,0.00266,0.002656,0.00273,0.002622,23615994.0,323330503.65,874.0,393.0,1108.0,328.0,2216063.0,56.0,950.0,753.0,1320.0,0.0,148.0,126.0,821.0,13.0,0.0,73991.0,176540.0,1955084.0,13527.0,2219142.0,3.7,93.0,6.0,2.4,1.9,1.0,44.5,0.00905183,16.0,19.0,,,,,,0.0,0.0,268,1533,2.614273552380581e-07,123911,-1.4471243042671604,269890623775.0,0.11980056925562234,Dogecoin,DOGE,0.00256,-0.03614457831325291,0.00219,0.002054,0.00273,-0.22665662650602414,0.027861445783132474,-0.00046599999999999983,-0.1754518072289156,Sell,Red
2019-09-21,29,1569024000,0.002617,0.00256,0.002638,0.002517,22129678.0,312227446.24,526.0,274.0,691.0,349.0,981816.0,29.0,435.0,373.0,659.0,0.0,26.0,233.0,342.0,90.0,0.0,57994.0,501502.0,393376.0,30440.0,983312.0,3.7,93.0,1.0,2.5,4.0,4.0,73.0,0.01196752,45.0,18.0,,,,,,0.0,0.0,391,983,2.5649815473629385e-07,105645,-3.6144578313252915,265137729227.0,0.1177604738300688,Dogecoin,DOGE,0.002577,0.0066406249999998645,0.002219,0.002054,0.002638,-0.19765625000000012,0.030468749999999975,-0.00034100000000000016,-0.13320312500000006,Hold,Grey
2019-09-22,29,1569110400,0.002574,0.002577,0.002623,0.002521,19230947.0,312422449.89,438.0,287.0,416.0,314.0,1599511.0,5.0,211.0,148.0,378.0,0.0,17.0,87.0,305.0,7.0,0.0,10047.0,211189.0,1375872.0,3145.0,1600864.0,3.7,94.0,0.0,5.0,1.9,4.0,73.5,0.00651261,6.0,18.0,,,,,,0.0,0.0,244,735,2.568485734344678e-07,125668,0.6640624999999865,264042755632.0,0.11832267434953884,Dogecoin,DOGE,0.002456,-0.04695382227396198,0.002201,0.002054,0.002623,-0.2029491656965464,0.017850213426464895,-0.00037600000000000003,-0.1459060923554521,Sell,Red
2019-09-23,29,1569196800,0.002468,0.002456,0.002515,0.002429,18177206.0,307548165.05,408.0,306.0,418.0,307.0,808609.0,2.0,107.0,36.0,233.0,0.0,44.0,61.0,254.0,59.0,0.0,33923.0,287081.0,412790.0,75193.0,809599.0,3.8,87.0,8.0,3.0,4.3,4.0,75.5,0.01186936,26.0,18.0,,,,,,0.0,0.0,164,775,2.5335697836437307e-07,142917,-4.695382227396197,254174396154.0,0.12099887703231199,Dogecoin,DOGE,0.002181,-0.1119706840390878,0.002386,0.002054,0.002515,-0.16368078175895767,0.024022801302931607,-6.999999999999975e-05,-0.028501628664495016,Sell,Red
2019-09-24,29,1569283200,0.002154,0.002181,0.002237,0.002054,22088720.0,297459861.65,386.0,290.0,1146.0,323.0,1957828.0,62.0,1000.0,408.0,1475.0,0.0,63.0,77.0,913.0,93.0,0.0,135233.0,396582.0,1297343.0,131615.0,1961906.0,3.9,93.0,7.0,2.9,1.4,4.0,61.0,0.038031,5.0,17.0,,,,,,0.0,0.0,76,1491,2.5563217507950947e-07,176715,-11.19706840390878,220536457745.0,0.13488013033833357,Dogecoin,DOGE,0.002185,0.0018340210912423948,0.002365,0.002054,0.002468,-0.05823016964695111,0.13159101329665288,0.0001839999999999997,0.08436497019715712,Buy,Green
2019-09-25,29,1569369600,0.002173,0.002185,0.002209,0.002118,19624321.0,259053858.68,394.0,294.0,621.0,305.0,993446.0,12.0,231.0,174.0,282.0,0.0,41.0,83.0,446.0,51.0,0.0,110759.0,192447.0,618312.0,72627.0,994586.0,3.8,92.0,8.0,2.9,4.6,2.0,66.5,0.06732152,71.0,19.0,31.0,,,,,0.0,0.0,427,984,2.581242016849724e-07,152205,0.1834021091242395,221293769161.0,0.11706333154438164,Dogecoin,DOGE,0.002126,-0.027002288329519463,0.002326,0.002063,0.002468,-0.055835240274599414,0.12951945080091545,0.00014100000000000007,0.06453089244851262,Hold,Grey
2019-09-26,29,1569456000,0.002086,0.002126,0.002152,0.002063,21245121.0,268103802.27,221.0,169.0,483.0,263.0,824926.0,16.0,308.0,255.0,423.0,0.0,28.0,243.0,211.0,21.0,0.0,26734.0,229298.0,561803.0,29022.0,592237.0,3.3,63.0,2.0,1.8,1.7,2.0,47.0,0.02777339,42.0,19.0,31.0,,,,,0.0,0.0,300,711,2.6327432329935993e-07,137909,-2.700228832951946,212077023740.0,0.1264181275000762,Dogecoin,DOGE,0.00219,0.03010348071495779,0.002293,0.002063,0.002468,-0.02963311382878631,0.16086547507055518,0.00016700000000000005,0.07855126999059268,Buy,Green
2019-09-27,29,1569542400,0.002172,0.00219,0.002224,0.002149,16752963.0,258399304.22,330.0,240.0,300.0,286.0,354742.0,3.0,48.0,44.0,161.0,0.0,19.0,104.0,177.0,7.0,0.0,22362.0,167863.0,164258.0,8580.0,318320.0,3.5,85.0,1.0,2.6,1.5,2.0,45.5,0.01126714,35.0,19.0,31.0,,,,,0.0,0.0,179,589,2.675411893761931e-07,128565,3.010348071495779,215909458780.0,0.11967947383134098,Dogecoin,DOGE,0.002219,0.013242009132420065,0.002299,0.002135,0.002468,-0.025114155251141516,0.1269406392694064,0.00010899999999999972,0.049771689497716765,Buy,Green
2019-09-28,29,1569628800,0.002204,0.002219,0.00225,0.002164,17426887.0,263223343.5,802.0,338.0,554.0,687.0,1046581.0,37.0,455.0,358.0,1402.0,0.0,57.0,105.0,383.0,9.0,0.0,165536.0,145872.0,726214.0,11211.0,1049233.0,3.6,87.0,1.0,3.4,4.1,4.0,73.5,0.00619096,56.0,19.0,31.0,,,,,0.0,0.0,133,957,2.69848898961501e-07,130747,1.3242009132420065,216379737999.0,0.12164879481516724,Dogecoin,DOGE,0.002201,-0.008111762054979819,0.002303,0.002135,0.002468,-0.03785488958990531,0.1122127084272195,8.399999999999987e-05,0.03785488958990531,Hold,Grey
